,Review_title,Review_text,Ratings
15017,Awesome,Good phone in this price,5
15018,Mind-blowing purchase,Awasome mobile,5
15019,Nice,Nice phone I Love this phone ☺️🥰🥰,3
15020,Perfect product!,"This is good phone..
Excellent work
Value for money
Excellent camera
Good looking
Performance good
I love this one",5
15021,Perfect product!,Nice products,5
15022,Simply awesome,Amazing Phone... Love it ❤😘...... Nice..... ❤❤🙂,5
15023,Good,"Overall good service, battery is good but camera is normal not so good not so bad. 👍",3
15024,Mind-blowing purchase,Best product at this price range... Go for it... Best brand INFINIX💪🤙✌️,5
15025,Delightful,Its nice 😌👌🙂☺,4
15026,Fabulous!,Super mobile,5
15027,Just wow!,Super fast delivary....loved this phone ....best phone in low budjet,5
15028,Great product,Simply best and worthy,5
15029,Brilliant,This phone is very good and low price I really happy,5
15030,Brilliant,Amazing phone and it's camera 😍😍,5
15031,Worth every penny,Excellent best alternative made in India mobile,5
15032,Highly recommended,"1.camera is ok.
2.battery is ok.
3.Display is ok.
4.Value for money.
5.Performance is not too good but the ram gives only aproxx 900MBs to external apps.",5
15033,Terrific,Nice product,5
15034,Good choice,Good phone at their price,4
15035,Super!,Nice phone,5
15036,Terrific,"Good, Better, Best.",5
15037,Highly recommended,Gud,5
15038,Highly recommended,Very nice product in this price range,5
15039,Must buy!,Good,5
15040,Worth every penny,Super product,5
15041,Nice,Nice,3
15042,Perfect product!,Very good mobile in lower price,5
15043,Best in the market!,Super,5
15044,Best in the market!,Very nice with affordable price,5
15045,Best in the market!,Nice,5
15046,Terrific purchase,Value for money,5
15047,Simply awesome,Super,5
15048,Wonderful,"Excellent phone according to price......
Superb camera quality,display & everything",5
15049,Classy product,"Value for money 👍👍👍
Best deal in this range",5
15050,Worth every penny,"Best Budget phonr For Parents, Thanks for Fast delivery",5
15051,Worth the money,Good using for home propose,4
15052,Really Nice,Good for students who want a normal phone,4
15053,Highly recommended,"I bought for my Dad. His usage only Social media and watching YouTube and video calls. Last for almost 2 days. Battery life and fingerprint sensor, Display with notch. Iam really happy for this price point. Well done Infinix Brand",5
15054,Mind-blowing purchase,nice performance must buy.,5
15055,Nice product,Good & average phone but price 2 good almost owsm device,4
15056,Great product,Good mobile,5
15057,Worth every penny,"VERY very very nice mobile phone ..👍👍👌😄
Thanks INFINIX 🤝🤝❤️
Thank you flipkart ❤️",5
15058,Worth the money,Good phone,4
15059,Good phone at this range. Camera lovers don't buy this phone,"Prons:
1. Battery backup is good
2. Given good features
3. Display is good & Big screen
4. Good Performance
5. Some unwanted preinstalled apps cannot be removed

Cons:
1. Camera is not good.
2. Fingerprint sensor is average",3
15060,Excellent,My best phone,5
15061,Perfect product!,Value for money,5
15062,Wonderful,"Products wise super handset, value for money camara good
Best prise, speed Process, hd video quality 📲😍😍",4
15063,Super!,"Very nice quality
Cheif and best",5
15064,Perfect product!,"Super phone
Camera Good
Ram Good",5
15065,Simply awesome,Good phone,5
15066,Fair,No good,3
15067,Simply awesome,Nice good mobile and camera and battery,5
15068,Don't waste your money,"One of the worst phone i ever seen.. Such a waste device

If u want to open the google chrome wait 2 minutes then it will open.. Only 2 things can use.. 1st one call then alaarm. Otherwise such waste device🙏🏻🙏🏻🙏🏻",1
15069,Perfect product!,Wonderful product 👍 😊🙏,5
15070,Terrific purchase,Best phone this price,5
15071,Terrific purchase,"This mobile is excellent. It's look like a 10,000 rupees mobile",5
15072,Mind-blowing purchase,Super 💞,5
15073,Terrific purchase,Good,5
15074,Classy product,Good,5
15075,Super!,"You can say value for money product,",5
15076,Does the job,Good SmartPhone in low Price 😀,3
15077,Awesome,"Great Battery
Average Camera
Charging Time is little bit Slow
Display Average
Overall A good Budget Phone
Best Feature is Notification Light",5
15078,Brilliant,Nice phone and nice quality,5
15079,Pretty good,In this price range value for money..,4
15080,Simply awesome,It's nice phone in this price 👍,5
15081,Very Good,Good product nice phone,4
15082,Super!,Lovely & Hot & Sexy Android movile,5
15083,Classy product,Nice mobile,5
15084,Decent product,OK,3
15085,Simply awesome,"Superb and faster delivery thank you ekart

Pros :
Price tag
Camera
Battery
Design

Cons :
atleast ram should be 3 gb.
nothing else i think..",5
15086,Wonderful,very nice mobile phone I'm happy infinix,5
15087,Simply awesome,Mobile is superb.Good quality at such price with all specifications and on time delivery by flipkart. Overall fine product go for it,5
15088,Highly recommended,Best,5
15089,Mind-blowing purchase,Good,5
15090,Unsatisfactory,Bad phone 📱 😡😡😡😡😡😡,1
15091,Simply awesome,"Camera Good
Battery good
All over is good",5
15092,Perfect product!,"Nice phone nice performance
Dont miss thies phone
I love thies mobile thank for
You infinix😍👍",5
15093,Worst experience ever!,First 1_bettery is slowly charging or backup is slow and 2 _camera is very poor or lower clarity's and 3_ device is very slowly or hanging problem,1
15094,Horrible,Camera was bad,1
15095,Super!,Infinx smart 🤓 5a is the best phone 📱 in this price range.i am so happy 😁,5
15096,Worth every penny,"Verry verry nice and beautiful product
Really nice product
Camera all the best
Battery verry bad
All anything verry good",5
15097,Worth every penny,"Overall the smart phone is value for money but camera quality is poor and also it does not have OTG. Despite that one should not expect more from this budget smartphone and I personally believe that except camera and OTG no other budget smartphone can beat its performance and other features,DTS sound quality is very loud, touch response is also smooth. And last but not the least, I can challenge it that no one won't believe by seeing its stylish design and body structure that it is budget sma...
READ MORE",5
15098,Value-for-money,This phone is working well so far. Just now started using it and appears a good phone. Long term usage will show how good it is. Looks like worth the money.,4
15099,Perfect product!,Very good mobile infinix smart 5A best battery pickup and best HD display low price me best mobile low price best quality thanks infinix mobile company,5
15100,Simply awesome,"Review after 10 days of usage
Battery backup is excellent normal usage 2-3 days
Camera is average but good as Price range
Overall good phone must buy for normal user.",5
15101,Wonderful,Good product in this budget range. Camera could be more better as the time is for camera mostly. No comments on Battery life and Looks. Lastly - Good for students for study purpose as display is quite big..,5
15102,Just okay,"Really budget phone you all know
Pros: Nice and big display with 2 front facing flash
Good battery back up
Good for average use
Fast face unlock
Excellent system UI
AVERAGE SOUND QUALITY
AVERAGE CAMERA QUALITY
CONS: Fingerprint senser is slow in reading
Camera could have been better
Slightly heating issues during calling
No screen protector given
Back cover is so hard, not cov...
READ MORE",3
15103,Best in the market!,I didn't think this mobile would be fast. But this mobile is very fast than my 6gb ram mobile. I just buyed for my father.. i like this mobile well. But hia company didn't know this company infinix name and telling it is not good mobile but after they use tuis mobile they tell it is good....,5
15104,Nice product,Good,4
15105,Just okay,"Bad Things :-
1. Camera quality is normal.
2. Selfie is bad
3. Micro USB
4. Sound system is not good

Good Things:-
1. Battery back up is awesome
2. Some extra features in this price
3. Finger print sensor and Face lock sensor is so fast
4. Screen resolution is good

Overall :-
Overall this phone is good except camera quality.",3
15106,Decent product,"Just an Average Phone
Pros:
✓The phone build quality is good.
✓The display is average, it's not that bright outdoors.
✓Beware that the Realme OS is different, it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.
✓Camera is decent outdoors, without enough lighting it struggles like hell.

Cons:
× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...
READ MORE",3
15107,Nice product,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4
15108,Just okay,"1) many options missing
- no game mode OR game space like stuff
- no stock file manager ( google files installed )
- no stock gallery ( google photos installed )
Most of the stock options is replaced with Google app

NEED GAME SPACE

NAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMI

Average CAMERA QUALITY
Don't buy if you like to get pictures and Selfies

Battery
Good enough battery
Charge full 100% at least once when you buy

Gaming
No Game Space -
Notification annoying while playing ...
READ MORE",3
15109,Value-for-money,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4
15110,Excellent,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5
15111,Worth the money,"First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).
Camera is value for money
Battery Backup is very strong
Display is also good
Design is good looking
Totally value for money product 👌👍👍👍",4
15112,Very Good,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.
Thank you Filpkart 👍",4
15113,Unsatisfactory,"Cons.

1.Three finger screen shot option not available
2.default system app lock option not available
3. Double tap screen lock, screen wake up not available
4.real time network speed tracker option not available
5. Data usage icon not available
6. Realme system theme app not available
7.realme system default gallery app not available only Google photos pre-installed
8. Realme file manager app not available only Google file manager installed
9. Camera quality poor like VGA camera
10. Low end...
READ MORE",1
15114,Great product,Fast delivery and excellent product I like it very good keep it up,5
15115,Just okay,"Bad Things :-
1. Camera quality is normal.
2. Selfie is bad
3. Micro USB
4. Sound system is not good

Good Things:-
1. Battery back up is awesome
2. Some extra features in this price
3. Finger print sensor and Face lock sensor is so fast
4. Screen resolution is good

Overall :-
Overall this phone is good except camera quality.",3
15116,Decent product,"Just an Average Phone
Pros:
✓The phone build quality is good.
✓The display is average, it's not that bright outdoors.
✓Beware that the Realme OS is different, it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.
✓Camera is decent outdoors, without enough lighting it struggles like hell.

Cons:
× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...
READ MORE",3
15117,Nice product,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4
15118,Just okay,"1) many options missing
- no game mode OR game space like stuff
- no stock file manager ( google files installed )
- no stock gallery ( google photos installed )
Most of the stock options is replaced with Google app

NEED GAME SPACE

NAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMI

Average CAMERA QUALITY
Don't buy if you like to get pictures and Selfies

Battery
Good enough battery
Charge full 100% at least once when you buy

Gaming
No Game Space -
Notification annoying while playing ...
READ MORE",3
15119,Value-for-money,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4
15120,Excellent,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5
15121,Worth the money,"First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).
Camera is value for money
Battery Backup is very strong
Display is also good
Design is good looking
Totally value for money product 👌👍👍👍",4
15122,Very Good,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.
Thank you Filpkart 👍",4
15123,Unsatisfactory,"Cons.

1.Three finger screen shot option not available
2.default system app lock option not available
3. Double tap screen lock, screen wake up not available
4.real time network speed tracker option not available
5. Data usage icon not available
6. Realme system theme app not available
7.realme system default gallery app not available only Google photos pre-installed
8. Realme file manager app not available only Google file manager installed
9. Camera quality poor like VGA camera
10. Low end...
READ MORE",1
15124,Great product,Fast delivery and excellent product I like it very good keep it up,5
15125,Wonderful,great phone in best discounts superb phone i love it 😊,5
15126,Classy product,Realme mobile is battery very good camera is best rest mobile awesome mobile thank you,5
15127,Pretty good,"Pros, Cons, Solutions of Cons, Recommendations and Suggestions:

Pros :
1)Very fast performance.
2)Sound is loud.
3)Fingerprint sensor works too fast.
4)Display is very good.
5)Big screen
6)Comfortable UI (INTERFACE)
7)Smart movements.
8) Smooth touch

Cons:
1) 3 finger screenshot feature missing.
2)Long screenshot feature missing.
3)Daily data usage not visible in notification or status bar.
4) Default Gallery (Photos) app missing.

Solutions of Cons:
2)For long screenshot, download an app ...
READ MORE",4
15128,Good quality product,"Build quality is strong.Display is bright & shows visible contents.Speaker at 80% is good enough above it shares destortion.
Back camera is decent, Selfies are not good enough.
Battery life is good
Also buy a back cover when you order it.",4
15129,Fabulous!,"At this price range realme c21y is good for daily uses,rear camera is good at sunlight,u can click quite good images,it's battery backup super,display is good enough at this price range,i'm disappointed with the selfie camera,they have used very basic camera,this phone is not for selfie lovers.speaker sound is not bad,about overall performance,yeah is okay.",5
15130,Good choice,"There is only two cones
1. Front camera quality low
2. No type C or fast charging
Pros -
1.Good battery performance
2. Smooth experience
3. Best budget phone for gaming
4. Fast app opening
5. Good looking
6. Fast face & fingerprint unlock",4
15131,Worth the money,"This 1st day use review
Nice mobile with very good realme R edition ui you can un intstall or disable apps which you not wanted
Lag free experience camera should be improve overall good budget phone",4
15132,Super!,"This phone is very good at this price point. I have used it for last 2 months as my primary phone and really I am very much happy with its processor. I play pung in this phone with minor lag. Battery is also quite awesome for 1 day backup easily with using it. Camera is not so good but it is not bad. Whose want a good phone with good looks, performance, battery, durability with little compromise with camera quality. I am recommend this to that person",5
15133,Simply awesome,"Realme C21Y comes with a Li-Po 5000 mAh, non-removable battery that lasts for a long time, it has Reverse charging, It looks stunning & bright, It offers a good processor that will offer better performance for the customers, It has connectivity options such as Wi-Fi, Bluetooth, GPS, USB, 3G & 4G, It offers smooth

Realme C21Y Review, Pros and Cons – Every phone Realme release is to make a milestone. Whether for daily activities or heavy use like games and multitasking, they have set a benchma...
READ MORE",5
15134,Wonderful,Very nice 👍,4
15135,Excellent,Camera quality best 🔥🔥,5
15136,Highly recommended,Excellent,5
15137,Decent product,"Camera quality is very low.
Speaker sound is normal.
Lookwise normal.
Battery backup is good.
Overall, it is only good mobile for basic users or new android users.",3
15138,Pretty good,Nice one,4
15139,Best in the market!,Nice Mobile on this Price 👌👌👌👌,5
15140,Terrific purchase,What a amazing mobile 😮 wow!,5
15141,Super!,Superior,5
15142,Brilliant,Super quality,5
15143,Simply awesome,Very good product,5
15144,Worth the money,Awesome,4
15145,Very Good,good quality mobile,4
15146,Good quality product,Good product,4
15147,Very poor,Very bad quality and old version charger I am so unhappy for buying this product 😭,1
15148,Classy product,Woooo nice product thanks flifcart,5
15149,Did not meet expectations,"Please don't buy this phone afer 10 day of purchase notification bar was not open in scrolling
Please don't waste your money",1
15150,Value-for-money,Good mobile but Quality bad settings full bad,4
15151,Wonderful,Low price me best mobile,5
15152,Perfect product!,Good and best in the segment..,5
15153,Very Good,Good product,4
15154,Worth every penny,Excellent thnku flipkart,5
15155,Very Good,Nice post 😊,4
15156,Waste of money!,"Worse mobile of realme.
1. The speaker placement is completely wrong, it is placed on the back side. So, even if your phone rings and is placed on a surface, you won't hear anything. Also the speaker sound is really bad.

2. The camera is not good as well, the photos look unreal, and extra saturated.

I wanted a refund, but flipkart is not helping me at all.
Don't buy this.",1
15157,Unsatisfactory,"Recently i purchased on offer time. Phone struck problem facing, because of this reason he provided more discount i think. slow performance while multiple apps open time. I don't recommend this phone.",1
15158,Decent product,Ok,3
15159,Wonderful,"Avarage. Camara is not good, ordinary features.",4
15160,Horrible,"The worst product for ever.Hate this phone.Bad quality,the lowest camera clarity.waste for money & don't bye this anybody otherwise you will relalize like me",1
15161,Perfect product!,Nice phone on this price segment. Totally value for money.,5
15162,Good choice,Very nice,4
15163,Excellent,Camera features autofocus awesome,5
15164,Pretty good,Camera quality is good,4
15165,Don't waste your money,Baqwas phone h ....full waste of money,1
15166,Moderate,Not good,2
15167,Perfect product!,Best 👍 phone on this price,5
15168,Just wow!,Very nice camera nice smartphone,5
15169,Delightful,Value for money,4
15170,Worthless,Front + back camera quality it's not good,1
15171,Expected a better product,Worest Camera Qualitys Both Front and Back,2
15172,Nice,"1.Camera quality just ok
2.No gallery
3.file manager is on Google drive
4.can't record call. if you unable automatic call recording than a sound will hear to other person who is on call.",3
15173,Useless product,"It is worest phone ever I have seen, apps are not opening even two three times pressed. And getting hang also.... There is no photo gallery option . Oh my God . Don't buy this phone.",1
15174,Does the job,Best mobile phone👍,3
15175,Not recommended at all,Poor camera quality,1
15176,Perfect product!,Value of money.,5
15177,Super!,Good super 👌,5
15178,Awesome,So nice...satisfied with this product and battery system also good,5
15179,Worth every penny,Awesome,5
15180,Terrific purchase,Nice phone👌,5
15181,Good quality product,Super,4
15182,Terrific purchase,"Very good phone, battery life is very big, phone is ok on this price",5
15183,Don't waste your money,Mobile network issues problem,1
15184,Excellent,Great phone📱,5
15185,Did not meet expectations,Net connection bad this phone,1
15186,Great product,Nice,5
15187,Slightly disappointed,Not bad,2
15188,Fair,Phn was osam but camera is very low quality photo not clear selfie camera was totally bad camera quantity 🤣🤣,3
15189,Super!,Very good battery life and camera quality,5
15190,Highly recommended,Good product 👌..,5
15191,Excellent,I like to camera and Gaming further,5
15192,Worth every penny,"This mobile has been very helpfull
And good condition and beat price ☺️
Battery capacity verry good
Camera 📸 lovely 💕💕💕💕 picture 🥰",5
15193,Terrible product,"Phone doesn't have own Pre-installed Gallery App, File Manager App etc. Only Google's Gallery,Files App installed.If you download Gallery App from Google Play Stores, Ads frequently pop up when open Gallery App. It's irritating. Camera is not up to the mark. Delivery experience was not good.

Only Good with Budget phone general usage purpose.",1
15194,Mind-blowing purchase,All is Well. Camera is OK. Good Battery Back UP in Low price,5
15195,Best in the market!,Good quality long battery life and good camera,5
15196,Highly recommended,Sound and spker very good,5
15197,Great product,As per price,5
15198,Classy product,Very good mobile is nice,5
15199,Terrific purchase,Super,5
15200,Simply awesome,This product is most likely,5
15201,Fabulous!,Superb,5
15202,Simply awesome,Good product 👍,5
15203,Not recommended at all,Worst phone ever total waste of money...😭,1
15204,Really Nice,Camera quality is very good,4
15205,Terrific purchase,Very good,5
15206,Delightful,Amazing pictures quality,4
15207,Must buy!,Good camera,5
15208,Just wow!,Nice mobail,5
15209,Just wow!,"It's amazing phone
For you",5
15210,Bad quality,Camara warest,2
15211,Very Good,Good for the price,4
15212,Good quality product,"UI is not too good, camera is also not as expected, battery is good, it's an average phone, it is ok at this price range.",4
15213,Terrific,Good,5
15214,Slightly disappointed,"I bought this product during Big billion day sale and believe me this is the most disgusting product I HAVE EVER BOUGHT FROM REALME..
The Camera quality is pathetic specially the selfie camera.
The Video recording doesn't have any sound.
There are lots of better smart phones available in 10k range in market.
I have raised return request so PLEASE DONT BUY THIS PRODUCT.",2
15215,Wonderful,great phone in best discounts superb phone i love it 😊,5
15216,Classy product,Realme mobile is battery very good camera is best rest mobile awesome mobile thank you,5
15217,Pretty good,"Pros, Cons, Solutions of Cons, Recommendations and Suggestions:

Pros :
1)Very fast performance.
2)Sound is loud.
3)Fingerprint sensor works too fast.
4)Display is very good.
5)Big screen
6)Comfortable UI (INTERFACE)
7)Smart movements.
8) Smooth touch

Cons:
1) 3 finger screenshot feature missing.
2)Long screenshot feature missing.
3)Daily data usage not visible in notification or status bar.
4) Default Gallery (Photos) app missing.

Solutions of Cons:
2)For long screenshot, download an app ...
READ MORE",4
15218,Good quality product,"Build quality is strong.Display is bright & shows visible contents.Speaker at 80% is good enough above it shares destortion.
Back camera is decent, Selfies are not good enough.
Battery life is good
Also buy a back cover when you order it.",4
15219,Fabulous!,"At this price range realme c21y is good for daily uses,rear camera is good at sunlight,u can click quite good images,it's battery backup super,display is good enough at this price range,i'm disappointed with the selfie camera,they have used very basic camera,this phone is not for selfie lovers.speaker sound is not bad,about overall performance,yeah is okay.",5
15220,Good choice,"There is only two cones
1. Front camera quality low
2. No type C or fast charging
Pros -
1.Good battery performance
2. Smooth experience
3. Best budget phone for gaming
4. Fast app opening
5. Good looking
6. Fast face & fingerprint unlock",4
15221,Worth the money,"This 1st day use review
Nice mobile with very good realme R edition ui you can un intstall or disable apps which you not wanted
Lag free experience camera should be improve overall good budget phone",4
15222,Super!,"This phone is very good at this price point. I have used it for last 2 months as my primary phone and really I am very much happy with its processor. I play pung in this phone with minor lag. Battery is also quite awesome for 1 day backup easily with using it. Camera is not so good but it is not bad. Whose want a good phone with good looks, performance, battery, durability with little compromise with camera quality. I am recommend this to that person",5
15223,Simply awesome,"Realme C21Y comes with a Li-Po 5000 mAh, non-removable battery that lasts for a long time, it has Reverse charging, It looks stunning & bright, It offers a good processor that will offer better performance for the customers, It has connectivity options such as Wi-Fi, Bluetooth, GPS, USB, 3G & 4G, It offers smooth

Realme C21Y Review, Pros and Cons – Every phone Realme release is to make a milestone. Whether for daily activities or heavy use like games and multitasking, they have set a benchma...
READ MORE",5
15224,Wonderful,Very nice 👍,4
15225,Just okay,"Bad Things :-
1. Camera quality is normal.
2. Selfie is bad
3. Micro USB
4. Sound system is not good

Good Things:-
1. Battery back up is awesome
2. Some extra features in this price
3. Finger print sensor and Face lock sensor is so fast
4. Screen resolution is good

Overall :-
Overall this phone is good except camera quality.",3
15226,Decent product,"Just an Average Phone
Pros:
✓The phone build quality is good.
✓The display is average, it's not that bright outdoors.
✓Beware that the Realme OS is different, it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.
✓Camera is decent outdoors, without enough lighting it struggles like hell.

Cons:
× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...
READ MORE",3
15227,Nice product,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4
15228,Just okay,"1) many options missing
- no game mode OR game space like stuff
- no stock file manager ( google files installed )
- no stock gallery ( google photos installed )
Most of the stock options is replaced with Google app

NEED GAME SPACE

NAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMI

Average CAMERA QUALITY
Don't buy if you like to get pictures and Selfies

Battery
Good enough battery
Charge full 100% at least once when you buy

Gaming
No Game Space -
Notification annoying while playing ...
READ MORE",3
15229,Value-for-money,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4
15230,Excellent,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5
15231,Worth the money,"First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).
Camera is value for money
Battery Backup is very strong
Display is also good
Design is good looking
Totally value for money product 👌👍👍👍",4
15232,Very Good,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.
Thank you Filpkart 👍",4
15233,Unsatisfactory,"Cons.

1.Three finger screen shot option not available
2.default system app lock option not available
3. Double tap screen lock, screen wake up not available
4.real time network speed tracker option not available
5. Data usage icon not available
6. Realme system theme app not available
7.realme system default gallery app not available only Google photos pre-installed
8. Realme file manager app not available only Google file manager installed
9. Camera quality poor like VGA camera
10. Low end...
READ MORE",1
15234,Great product,Fast delivery and excellent product I like it very good keep it up,5
15235,Just okay,"Bad Things :-
1. Camera quality is normal.
2. Selfie is bad
3. Micro USB
4. Sound system is not good

Good Things:-
1. Battery back up is awesome
2. Some extra features in this price
3. Finger print sensor and Face lock sensor is so fast
4. Screen resolution is good

Overall :-
Overall this phone is good except camera quality.",3
15236,Decent product,"Just an Average Phone
Pros:
✓The phone build quality is good.
✓The display is average, it's not that bright outdoors.
✓Beware that the Realme OS is different, it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.
✓Camera is decent outdoors, without enough lighting it struggles like hell.

Cons:
× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...
READ MORE",3
15237,Nice product,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4
15238,Just okay,"1) many options missing
- no game mode OR game space like stuff
- no stock file manager ( google files installed )
- no stock gallery ( google photos installed )
Most of the stock options is replaced with Google app

NEED GAME SPACE

NAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMI

Average CAMERA QUALITY
Don't buy if you like to get pictures and Selfies

Battery
Good enough battery
Charge full 100% at least once when you buy

Gaming
No Game Space -
Notification annoying while playing ...
READ MORE",3
15239,Value-for-money,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4
15240,Excellent,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5
15241,Worth the money,"First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).
Camera is value for money
Battery Backup is very strong
Display is also good
Design is good looking
Totally value for money product 👌👍👍👍",4
15242,Very Good,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.
Thank you Filpkart 👍",4
15243,Unsatisfactory,"Cons.

1.Three finger screen shot option not available
2.default system app lock option not available
3. Double tap screen lock, screen wake up not available
4.real time network speed tracker option not available
5. Data usage icon not available
6. Realme system theme app not available
7.realme system default gallery app not available only Google photos pre-installed
8. Realme file manager app not available only Google file manager installed
9. Camera quality poor like VGA camera
10. Low end...
READ MORE",1
15244,Great product,Fast delivery and excellent product I like it very good keep it up,5
15245,Wonderful,great phone in best discounts superb phone i love it 😊,5
15246,Classy product,Realme mobile is battery very good camera is best rest mobile awesome mobile thank you,5
15247,Pretty good,"Pros, Cons, Solutions of Cons, Recommendations and Suggestions:

Pros :
1)Very fast performance.
2)Sound is loud.
3)Fingerprint sensor works too fast.
4)Display is very good.
5)Big screen
6)Comfortable UI (INTERFACE)
7)Smart movements.
8) Smooth touch

Cons:
1) 3 finger screenshot feature missing.
2)Long screenshot feature missing.
3)Daily data usage not visible in notification or status bar.
4) Default Gallery (Photos) app missing.

Solutions of Cons:
2)For long screenshot, download an app ...
READ MORE",4
15248,Good quality product,"Build quality is strong.Display is bright & shows visible contents.Speaker at 80% is good enough above it shares destortion.
Back camera is decent, Selfies are not good enough.
Battery life is good
Also buy a back cover when you order it.",4
15249,Fabulous!,"At this price range realme c21y is good for daily uses,rear camera is good at sunlight,u can click quite good images,it's battery backup super,display is good enough at this price range,i'm disappointed with the selfie camera,they have used very basic camera,this phone is not for selfie lovers.speaker sound is not bad,about overall performance,yeah is okay.",5
15250,Good choice,"There is only two cones
1. Front camera quality low
2. No type C or fast charging
Pros -
1.Good battery performance
2. Smooth experience
3. Best budget phone for gaming
4. Fast app opening
5. Good looking
6. Fast face & fingerprint unlock",4
15251,Worth the money,"This 1st day use review
Nice mobile with very good realme R edition ui you can un intstall or disable apps which you not wanted
Lag free experience camera should be improve overall good budget phone",4
15252,Super!,"This phone is very good at this price point. I have used it for last 2 months as my primary phone and really I am very much happy with its processor. I play pung in this phone with minor lag. Battery is also quite awesome for 1 day backup easily with using it. Camera is not so good but it is not bad. Whose want a good phone with good looks, performance, battery, durability with little compromise with camera quality. I am recommend this to that person",5
